epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.2461,0.86187,3.65036,1.18008,0.3589,0.52605,0.42511,0.3495,0.76781,1.71264,1.11478,0.00017454,0.00017454,0.00017454
2,183.812,0.72463,1.66055,1.07155,0.48526,0.54715,0.55006,0.43692,0.78795,1.74886,1.11838,0.00034641,0.00034641,0.00034641
3,271.636,0.74635,1.38442,1.07996,0.73357,0.63783,0.72907,0.59748,0.74246,1.11125,1.0755,0.000514808,0.000514808,0.000514808
4,360.453,0.72034,1.21836,1.06294,0.80867,0.71298,0.80271,0.6532,0.76629,0.91997,1.10796,0.000510378,0.000510378,0.000510378
5,449.348,0.70048,1.11974,1.04685,0.8409,0.71122,0.82401,0.67875,0.70422,0.83465,1.03794,0.00050517,0.00050517,0.00050517
6,538.783,0.69786,1.03531,1.05296,0.88048,0.80039,0.87639,0.71854,0.68874,0.6592,1.04227,0.000499963,0.000499963,0.000499963
7,627.687,0.6806,0.96349,1.03962,0.9111,0.80573,0.90298,0.75221,0.68115,0.60412,1.03308,0.000494756,0.000494756,0.000494756
8,716.581,0.67907,0.95034,1.0504,0.89464,0.82227,0.89711,0.75103,0.66465,0.59987,1.01982,0.000489548,0.000489548,0.000489548
9,804.314,0.65842,0.89679,1.02251,0.88097,0.82559,0.89562,0.7388,0.68263,0.60626,1.02622,0.000484341,0.000484341,0.000484341
10,890.505,0.64305,0.86143,1.01916,0.87332,0.84075,0.90909,0.75668,0.66143,0.56409,1.01996,0.000479133,0.000479133,0.000479133
11,976.928,0.64094,0.84127,1.01218,0.93101,0.82306,0.91793,0.76124,0.66653,0.54102,1.02578,0.000473926,0.000473926,0.000473926
12,1065,0.63159,0.80834,1.00988,0.89752,0.8553,0.91718,0.77527,0.63323,0.53966,0.98808,0.000468719,0.000468719,0.000468719
13,1153.71,0.63279,0.79971,1.01205,0.90862,0.85275,0.92749,0.76789,0.65577,0.49491,1.01832,0.000463511,0.000463511,0.000463511
14,1242.58,0.61237,0.75669,1.00093,0.9276,0.85082,0.93413,0.76833,0.68596,0.52698,1.0374,0.000458304,0.000458304,0.000458304
15,1331.62,0.61889,0.75278,1.00405,0.92117,0.85845,0.9224,0.77338,0.6352,0.48255,0.98828,0.000453096,0.000453096,0.000453096
16,1420.19,0.61534,0.7446,1.00393,0.91747,0.88318,0.94106,0.79736,0.6153,0.45709,0.98655,0.000447889,0.000447889,0.000447889
17,1508.53,0.60237,0.71927,0.99519,0.93809,0.88635,0.95112,0.80425,0.60926,0.4353,0.98035,0.000442682,0.000442682,0.000442682
18,1596.97,0.59527,0.71152,0.99621,0.92144,0.87962,0.94677,0.7996,0.6183,0.45789,0.9875,0.000437474,0.000437474,0.000437474
19,1686.45,0.59167,0.68686,0.98734,0.94547,0.86036,0.94256,0.79875,0.61377,0.44474,0.97744,0.000432267,0.000432267,0.000432267
20,1775.21,0.58737,0.69933,0.9914,0.93429,0.87911,0.94718,0.79459,0.6307,0.44889,0.98722,0.000427059,0.000427059,0.000427059
21,1864.06,0.59905,0.68905,0.98881,0.92434,0.8946,0.94725,0.80154,0.62508,0.42743,0.98192,0.000421852,0.000421852,0.000421852
22,1952.63,0.57838,0.66534,0.9849,0.92639,0.8709,0.93222,0.79001,0.60593,0.44713,0.96972,0.000416645,0.000416645,0.000416645
23,2041.26,0.57371,0.63812,0.97976,0.95168,0.88188,0.94583,0.80314,0.60023,0.4089,0.96366,0.000411437,0.000411437,0.000411437
24,2130.18,0.5685,0.64968,0.97692,0.94142,0.88788,0.95331,0.80905,0.62307,0.41191,0.98403,0.00040623,0.00040623,0.00040623
25,2219.38,0.5717,0.63309,0.97394,0.9579,0.91158,0.95908,0.81541,0.60729,0.38595,0.98113,0.000401022,0.000401022,0.000401022
26,2306.16,0.56713,0.63693,0.97213,0.95349,0.90606,0.95611,0.80726,0.61639,0.39985,0.97503,0.000395815,0.000395815,0.000395815
27,2392.52,0.56036,0.62715,0.97793,0.94695,0.90643,0.95553,0.81079,0.61768,0.39417,0.98074,0.000390608,0.000390608,0.000390608
28,2479.32,0.56879,0.61983,0.97593,0.94302,0.90002,0.96185,0.819,0.60564,0.39955,0.97182,0.0003854,0.0003854,0.0003854
29,2568.52,0.56397,0.60813,0.9736,0.95434,0.91563,0.9617,0.81442,0.61212,0.37441,0.97482,0.000380193,0.000380193,0.000380193
30,2657.18,0.56169,0.59955,0.97084,0.94579,0.89479,0.95893,0.81301,0.60969,0.39313,0.97341,0.000374985,0.000374985,0.000374985
31,2746.24,0.55033,0.59708,0.97004,0.94934,0.90206,0.95955,0.81407,0.60417,0.37402,0.97452,0.000369778,0.000369778,0.000369778
32,2834.84,0.54807,0.58133,0.9713,0.94398,0.92409,0.9615,0.81735,0.59967,0.38018,0.97144,0.000364571,0.000364571,0.000364571
33,2923.96,0.55216,0.5875,0.9723,0.94198,0.91459,0.95876,0.81521,0.60156,0.37576,0.96539,0.000359363,0.000359363,0.000359363
34,3012.57,0.54913,0.57913,0.96342,0.95355,0.91495,0.96,0.81961,0.59932,0.37353,0.96602,0.000354156,0.000354156,0.000354156
35,3101,0.5438,0.5839,0.9652,0.95479,0.92652,0.9629,0.82541,0.58081,0.37038,0.95587,0.000348948,0.000348948,0.000348948
36,3189.67,0.5472,0.56397,0.95948,0.93037,0.90249,0.94949,0.81379,0.58144,0.37725,0.95431,0.000343741,0.000343741,0.000343741
37,3278.63,0.53969,0.54698,0.96335,0.95469,0.92134,0.96023,0.81732,0.58667,0.35662,0.96024,0.000338534,0.000338534,0.000338534
